player_name,position,season,scouting_blurb,Rnd,Pick,Tm,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,player_id
Romeo Doubs,WR,2022,"A wide receiver from , drafted in Round 4.0, Pick 132, known for receiving potential.",4.0,132.0,GNB,22.0,2024.0,0.0,0.0,2.0,16.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,147.0,1700.0,15.0,,,,Nevada,College Stats,DoubRo00,dourom001
Bailey Zappe,QB,2022,"A quarterback from , selected in Round 4.0, Pick 137, with notable passing experience.",4.0,137.0,NWE,23.0,2024.0,0.0,0.0,0.0,2.0,2.0,15.0,208.0,335.0,2223.0,12.0,14.0,29.0,85.0,1.0,1.0,-6.0,0.0,,,,Western Kentucky,College Stats,ZappBa00,zapbai001
Calvin Austin Iii,WR,2022,"A wide receiver from , drafted in Round 4.0, Pick 138, known for receiving potential.",4.0,138.0,PIT,23.0,2024.0,0.0,0.0,0.0,8.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,1.0,53.0,728.0,5.0,,,,Memphis,College Stats,AustCa00,iiical002
Isaiah Likely,TE,2022,"A tight end out of , picked in Round 4.0, Pick 139, with solid athletic traits.",4.0,139.0,BAL,22.0,2024.0,0.0,0.0,1.0,12.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1261.0,14.0,4.0,,,Coastal Carolina,College Stats,LikeIs00,likisa001
Chigoziem Okonkwo,TE,2022,"A tight end out of , picked in Round 4.0, Pick 143, with solid athletic traits.",4.0,143.0,TEN,22.0,2024.0,0.0,0.0,1.0,12.0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,138.0,1457.0,6.0,8.0,,,Maryland,College Stats,OkonCh00,okochi001
Sam Howell,QB,2022,"A quarterback from , selected in Round 5.0, Pick 144, with notable passing experience.",5.0,144.0,WAS,21.0,2024.0,0.0,0.0,1.0,12.0,12.0,20.0,404.0,645.0,4139.0,22.0,23.0,54.0,300.0,6.0,1.0,4.0,0.0,,,,North Carolina,College Stats,HoweSa00,howsam001
Khalil Shakir,WR,2022,"A wide receiver from , drafted in Round 5.0, Pick 148, known for receiving potential.",5.0,148.0,BUF,22.0,2024.0,0.0,0.0,2.0,18.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,125.0,1593.0,7.0,1.0,,,Boise St.,College Stats,ShakKh00,shakha001
Cole Turner,TE,2022,"A tight end out of , picked in Round 5.0, Pick 149, with solid athletic traits.",5.0,149.0,WAS,22.0,2023.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,143.0,0.0,1.0,,,Nevada,College Stats,TurnCo00,turcol001
Tyler Allgeier,RB,2022,"A running back from , taken in Round 5.0, Pick 151, with strong rushing upside.",5.0,151.0,ATL,22.0,2024.0,0.0,0.0,0.0,16.0,16.0,50.0,0.0,0.0,0.0,0.0,0.0,533.0,2362.0,10.0,47.0,420.0,2.0,4.0,,,BYU,College Stats,AllgTy00,alltyl001
Snoop Conner,RB,2022,"A running back from , taken in Round 5.0, Pick 154, with strong rushing upside.",5.0,154.0,JAX,22.0,2022.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,1.0,0.0,0.0,0.0,1.0,,,Mississippi,College Stats,ConnSn00,consno001
